Num;Lat;Lng;Dist (m);Slope (rad);Altitude (m)
0;48.78816;2.04723;0;0;164.6
1;48.78868;2.04825;94.48354413857703;0.012700624335598612;165.8
2;48.78869;2.04826;95.81513184975806;0.0;165.8
3;48.78902;2.04891;155.9316281060921;0.013307495443327553;166.6
4;48.78914;2.0492;181.01945766836366;-0.015943985868014165;166.2
5;48.78918;2.04941;197.03385004286997;-0.012488766062605863;166.0
6;48.789159999999995;2.04946;201.31903753392425;0.0;166.0
7;48.789159999999995;2.04956;208.644912906519;0.0;166.0
8;48.78914;2.04966;216.30090376638327;0.013061666586389756;166.1
9;48.78911;2.04972;221.81892419822992;0.018122441052022067;166.2
10;48.78906;2.0497900000000002;229.38254756149837;0.03966352971208411;166.5
11;48.78895;2.0499;244.02998410754194;0.02730853270759176;166.9
12;48.7889;2.0499400000000003;250.31471255896858;0.015911586438916714;167.0
13;48.788779999999996;2.04998;263.9760869470911;0.029279630924087172;167.4
14;48.78872;2.04999;270.68788368330013;0.029798280231137262;167.6
15;48.78862;2.04993;282.6446448015828;0.03345387568113075;168.0
16;48.78857;2.04988;289.3025869706731;0.0;168.0
17;48.78853;2.04981;296.0908915168381;0.0;168.0
18;48.7885;2.04973;302.8345234433577;0.0;168.0
19;48.78848;2.04964;309.79285155227416;0.028742536550368524;168.2
20;48.78848;2.04955;316.38622873809936;0.015166734312577857;168.3
21;48.78849;2.04945;323.7961089707143;0.04048648434012725;168.6
22;48.788509999999995;2.04936;330.7544358343533;0.0;168.6
23;48.788540000000005;2.04927;338.14364589297315;0.013533246342528794;168.7
24;48.78862;2.0491099999999998;352.85846845622615;0.0067958685583984334;168.8
25;48.78867;2.04903;360.93679082677306;-0.06189403901767671;168.3
26;48.788779999999996;2.04877;383.57333614289763;-0.048593987494039786;167.2
27;48.78888;2.0486400000000002;398.213827616001;-0.013660743586881354;167.0
28;48.78895;2.0485700000000002;407.5349286603075;-0.01072834631066214;166.9
29;48.788959999999996;2.04855;409.37427275809546;-0.05436720628851209;166.8
30;48.78928;2.04818;454.10488610961306;0.00894242153257678;167.2
31;48.78952;2.04794;486.06285333736616;0.04067843210224766;168.5
32;48.789559999999994;2.04789;491.82478079319213;0.05206591063493487;168.8
33;48.78971;2.04773;512.2106985866521;0.06376951055973704;170.1
34;48.78978;2.0476400000000003;522.4114612170274;0.049015943034604985;170.6
35;48.78985;2.04757;531.7325116579802;0.05364202277065329;171.1
36;48.79032;2.0470099999999998;598.1723867063901;0.0015051202297886883;171.2
37;48.79058;2.04664;637.8020570895051;-0.03280370458377246;169.9
38;48.79065;2.04651;650.1016321979071;-0.016260724312614244;169.7
39;48.790820000000004;2.04615;682.548944203247;-0.021573435725116098;169.0
40;48.790890000000005;2.04596;698.4962054920611;-0.012541338376406651;168.8
41;48.79098;2.04565;723.3128982712358;-0.012088637380874574;168.5
42;48.791090000000004;2.0452;758.4741420482299;-0.01137616184845331;168.1
43;48.79159;2.04281;942.1705478962074;-0.004899388182612688;167.2
44;48.79159;2.04278;944.3682040732285;0.04550302319608943;167.3
45;48.79187;2.04146;1045.9536108564432;0.02559422738295911;169.9
46;48.791940000000004;2.0413200000000002;1058.8285392236212;0.02330110051445206;170.2
47;48.79206;2.04101;1085.1675124622006;0.0;170.2
48;48.79211;2.04091;1094.3638689331574;-0.05436935829739281;169.7
49;48.792159999999996;2.04083;1102.4418955720573;-0.06189630492083752;169.2
50;48.79224;2.04073;1113.965503601884;-0.052067026095212986;168.6
51;48.79233;2.04065;1125.5626780257207;-0.051736740181017815;168.0
52;48.79242;2.0405900000000003;1136.492869746023;-0.0548938221170926;167.4
53;48.79249;2.0405599999999997;1144.5808023329969;-0.03709229729278172;167.1
54;48.79267;2.04054;1164.6494381815464;-0.004982899722465259;167.0
55;48.792790000000004;2.04057;1178.1725872916402;0.0073947273069224235;167.1
56;48.79287;2.0406;1187.3356134782412;0.04365370041012477;167.5
57;48.793079999999996;2.04074;1212.8393448407232;0.04705193851615305;168.7
58;48.79327;2.04088;1236.3239138432193;0.012774345569983657;169.0
59;48.7936;2.0411;1276.4011465686324;-0.047408462880103266;167.1
60;48.79367;2.04117;1285.7219822256657;-0.05364325886624945;166.6
61;48.79374;2.04123;1294.660789157804;-0.03356152585882256;166.3
62;48.79381;2.04128;1303.2631011659737;-0.034874345375417046;166.0
63;48.793890000000005;2.04136;1313.9154709586892;-0.009387582476565752;165.9
64;48.794;2.0415;1329.877246292603;0.018794901802844804;166.2
65;48.79407;2.04162;1341.618314337034;0.025551338163167275;166.5
66;48.7942;2.0419;1366.7108248139011;0.06376404630676727;168.1
67;48.79422;2.04196;1371.636520478947;0.06090510262923903;168.4
68;48.79424;2.04205;1378.5941338987477;0.014372744498192935;168.5
69;48.794309999999996;2.04229;1397.8204797828255;0.020804785392489106;168.9
70;48.79448;2.04298;1451.7829701333808;-0.00741255634055239;168.5
71;48.7945;2.04304;1456.7086439108418;-0.020301791088474845;168.4
72;48.794540000000005;2.04323;1471.3197565428356;0.006844105751469229;168.5
73;48.7946;2.0434200000000002;1486.753902118679;-0.01943742195029913;168.2
74;48.79465;2.0434900000000003;1494.3171416072348;0.0;168.2
75;48.79469;2.04363;1505.4952433796186;-0.035784251042355546;167.8
76;48.79484;2.04399;1536.6975628291425;0.003204889949343824;167.9
77;48.79493;2.0441599999999998;1552.6730863982982;0.025038303018268124;168.3
78;48.79507;2.04438;1575.0792316365337;0.022315306568073286;168.8
79;48.79513;2.04446;1583.9590513495075;0.0;168.8
80;48.795190000000005;2.04452;1591.9482655600254;0.0;168.8
81;48.79522;2.04454;1595.591629568925;0.027447161402407695;168.9
82;48.79528;2.04461;1604.0060623695408;-0.01188434234006572;168.8
83;48.79552;2.0448;1634.1038907431073;-0.043192484981466106;167.5
84;48.79571;2.0449200000000003;1656.9865116022245;-0.039331159028552436;166.6
85;48.795809999999996;2.04497;1668.6936333700905;-0.03416723665571955;166.2
86;48.79593;2.04501;1682.3549196973008;-0.014639909830572386;166.0
87;48.79626;2.04505;1719.1660338317681;-0.013582854302468311;165.5
88;48.7964;2.04504;1734.7505466787588;-0.03208313310201055;165.0
89;48.796640000000004;2.045;1761.5976840980627;-0.033523127100801554;164.1
90;48.79708;2.04486;1811.5865691234674;-0.006001334093519421;163.8
91;48.79735;2.0447599999999997;1842.4897978119052;0.0032359078401865585;163.9
92;48.79743;2.04474;1851.5052084380557;0.0;163.9
93;48.797670000000004;2.04466;1878.8277390043067;0.0036599830955451346;164.0
94;48.79782;2.04462;1895.7623493406918;0.0;164.0
95;48.79805;2.0446;1921.3791031695496;0.0;164.0
96;48.798120000000004;2.0446;1929.162748034769;0.051389806051836934;164.4
97;48.79826;2.0446299999999997;1944.8843551914645;0.050885382901791114;165.2
98;48.79835;2.04467;1955.3119506453538;0.06712957010035635;165.9
99;48.79845;2.0447;1966.6464774885008;0.03529040122586637;166.3
100;48.79855;2.04475;1978.3535366767617;0.05125112894292355;166.9
101;48.79861;2.0447900000000003;1985.6401854350659;0.04117118993255795;167.2
102;48.79868;2.04482;1993.7280443517916;0.012364211719027633;167.3
103;48.79873;2.04486;2000.0125064981305;0.0;167.3
104;48.7988;2.0449;2008.3292842420226;-0.012023887505406101;167.2
105;48.79945;2.04535;2087.76653093513;-0.023918250935109978;165.3
106;48.8002;2.04593;2181.3590763460356;0.0;165.3
107;48.80145;2.0469999999999997;2340.9237375303333;-0.0018801155454684954;165.0
108;48.80154;2.0470900000000003;2352.9071008792907;0.0;165.0
109;48.80206;2.04756;2420.199364039573;0.013374494447546114;165.9
110;48.80237;2.04779;2458.5656087081784;-0.03649041004906083;164.5
111;48.80682;2.0523;3053.4935798277656;-0.051770973118036294;133.7
112;48.80685;2.05234;3057.933037375721;-0.02252527452279614;133.6
113;48.80853;2.05405;3282.829979886645;-0.023121701620053853;128.4
114;48.80856;2.0540700000000003;3286.4731872557127;-0.05489668298821239;128.2
115;48.81004;2.05557;3484.3329775038806;-0.01617306879779036;125.0
116;48.81005;2.05559;3486.1718310125284;-0.05438171095724378;124.9
117;48.8114;2.057;3668.3657165183813;-0.012075048478667666;122.7
118;48.81231;2.05804;3795.00858228222;-0.028426394004011438;119.1
119;48.81237;2.0581;3802.9969685087776;-0.012518172902999919;119.0
120;48.81388;2.05995;4018.733729201662;-0.013905835938042569;116.0
121;48.818690000000004;2.06641;4732.727323216879;-0.011624754156860267;107.7
122;48.8188;2.0665400000000003;4748.2257394548915;-0.025809088738947696;107.3
123;48.81906;2.0669;4787.347923990858;0.015336566889520127;107.9
124;48.81907;2.06692;4789.186567654273;0.0543879175665156;108.0
125;48.821909999999995;2.07078;5212.966685021887;0.00023597142929017545;108.1
126;48.82257;2.07164;5309.6619773292905;-0.06928982621718624;101.4
127;48.82263;2.07173;5319.038812072496;-0.03199373863524815;101.1
128;48.82271;2.07182;5330.108815746171;0.0;101.1
129;48.82286;2.07205;5353.809504409643;0.037973580125842746;102.0
130;48.82373;2.0732;5482.053584265147;0.05068460085895354;108.5
131;48.82398;2.07356;5520.359599683859;0.06787445709453586;111.1
132;48.82528;2.07527;5711.583796584521;0.004706517347632219;112.0
133;48.830890000000004;2.08233;6521.657089751123;0.01172733390933579;121.5
134;48.831340000000004;2.0829400000000002;6588.720022712035;0.0029822733836674742;121.7
135;48.83266;2.08459;6778.798600231022;0.020517830314730832;125.6
136;48.83279;2.0847700000000002;6798.35724887929;0.00511282767017054;125.7
137;48.83293;2.08493;6817.837815016167;0.0102666420777882;125.9
138;48.83636;2.08925;7313.2583797177185;0.020184870618005432;135.9
139;48.83637;2.08927;7315.096620863221;0.0;135.9
140;48.8365;2.08942;7333.248297611948;0.027545664619388455;136.4
141;48.83651;2.08944;7335.086535499376;0.0;136.4
142;48.83728;2.09038;7444.922427146698;0.0027313476086966845;136.7
143;48.83728;2.09039;7445.654311881875;0.0;136.7
144;48.83798;2.09127;7546.6818781649845;0.04058298295052082;140.8
