Num;Lat;Lng;Dist (m);MaxSpeed (m/s);Slope (rad);Altitude (m);Duree (s)
0;48.787651;2.046165;0;4.177777777777778;0;166.3475952148438;2345.4
1;48.787607571428566;2.046076857142857;8.063376185124236;4.177777777777778;0.0010578279471071905;166.3561248779297;2345.4
2;48.78756414285714;2.045988714285714;16.126756845292128;4.177777777777778;-0.004261599250857802;166.3217620849609;2345.4
3;48.78752071428571;2.045900571428571;24.190141981448434;4.177777777777778;-0.007247783999105679;166.2633209228516;2345.4
4;48.78747728571428;2.0458124285714288;32.253531593092355;4.177777777777778;0.007980142289810461;166.3276672363281;2345.4
5;48.78743385714285;2.045724285714286;40.31692568027441;4.177777777777778;-0.0105311398425567;166.2427520751953;2345.4
6;48.78739042857143;2.045636142857143;48.38032424249379;4.177777777777778;0.002577386390134982;166.2635345458984;2345.4
7;48.787347;2.045548;56.44372728069526;4.177777777777778;-0.0002176203704258628;166.2617797851562;2345.4
8;48.787285;2.045616;64.94940358876117;6.946843853820598;-0.07568199191468024;165.6186676025391;2345.4
9;48.787266;2.045637;67.5629209400736;6.946843853820598;-0.015034475306931597;165.5793762207031;2345.4
10;48.78720644444444;2.045700666666667;75.6629462898356;6.946843853820598;-0.029887092811254796;165.3373260498047;2345.4
11;48.78714688888889;2.0457643333333335;83.76297482660654;6.946843853820598;-0.01934589225790915;165.1806335449219;2345.4
12;48.78708733333333;2.045828;91.86300655167793;6.946843853820598;-0.013966900885802219;165.0675048828125;2345.4
13;48.78702777777778;2.045891666666667;99.9630414637575;6.946843853820598;-0.013561841522720173;164.9576568603516;2345.4
14;48.78696822222222;2.045955333333333;108.06307956411806;6.946843853820598;-0.017015232698284314;164.8198394775391;2345.4
15;48.78690866666667;2.046019;116.16312085150479;6.946843853820598;-0.017625666026823725;164.6770782470703;2345.4
16;48.78684911111111;2.0460826666666665;124.26316532719048;6.946843853820598;-0.015351614011560545;164.552734375;2345.4
17;48.78678955555556;2.046146333333333;132.36321298988287;6.946843853820598;-0.009420973319123362;164.4764251708984;2345.4
18;48.78673;2.04621;140.46326384087345;6.946843853820598;-0.007448571738667076;164.4160919189453;2345.4
19;48.786679666666664;2.04627;147.57992243247853;6.946843853820598;-0.0035913661295712564;164.3905334472656;2345.4
20;48.78662933333334;2.04633;154.69658374677485;6.946843853820598;-4.5025968813303456e-05;164.3902130126953;2345.4
21;48.786579;2.04639;161.81324778496455;6.946843853820598;-0.004819939573394326;164.3559112548828;2345.4
22;48.786529;2.046447;168.766626091061;6.946843853820598;-0.010948292486523403;164.27978515625;2345.4
23;48.78646975;2.0465145000000002;177.00440308022118;6.946843853820598;-0.017888562092258996;164.1324310302734;2345.4
24;48.7864105;2.046582;185.2421835744465;6.946843853820598;-0.022283085150668284;163.9488830566406;2345.4
25;48.78635125;2.0466495;193.47996757377553;6.946843853820598;-0.02511417518111846;163.7420196533203;2345.4
26;48.786292;2.046717;201.7177550781882;6.946843853820598;-0.031253256041368103;163.4846038818359;2345.4
27;48.786232749999996;2.0467845000000002;209.95554608831583;6.946843853820598;-0.03516558947591575;163.1949768066406;2345.4
28;48.7861735;2.0468520000000003;218.19334060289418;6.946843853820598;-0.03796811223748144;162.8822784423828;2345.4
29;48.78611425;2.0469195;226.43113862253503;6.946843853820598;-0.03824243410964774;162.5673217773438;2345.4
30;48.786055;2.046987;234.66894014727694;6.946843853820598;-0.015591348101317232;162.4388885498047;2345.4
31;48.785991499999994;2.047063;243.66109051777687;6.946843853820598;-0.01351622809876763;162.3173522949219;2345.4
32;48.785928;2.047139;252.65324525031215;6.946843853820598;-0.01937472157832844;162.1431427001953;2345.4
33;48.785883;2.0471935;259.05485992272503;6.946843853820598;0.038580733603649615;162.3900604248047;2345.4
34;48.785838;2.047248;265.4564768283493;6.946843853820598;0.04096857645974167;162.6522521972656;2345.4
35;48.785873499999994;2.0473195000000004;272.01562240141936;6.946843853820598;0.011913458294737504;162.7303924560547;2345.4
36;48.785909;2.047391;278.57476501551486;6.946843853820598;0.004627104719268671;162.7607421875;2345.4
37;48.785956727272726;2.0474867272727275;287.36971327282606;6.946843853820598;0.007390951181725119;162.8257446289062;2345.4
38;48.78600445454545;2.047582454545455;296.16465621079993;6.946843853820598;0.008744261045254912;162.9026489257812;2345.4
39;48.78605218181818;2.0476781818181817;304.959593830362;6.946843853820598;0.03207954783701662;163.1847381591797;2345.4
40;48.78609990909091;2.047773909090909;313.75452613108536;6.946843853820598;0.024864430103119756;163.4033966064453;2345.4
41;48.78614763636364;2.0478696363636364;322.54945311294205;6.946843853820598;-0.004719090946796484;163.3618927001953;2345.4
42;48.78619536363636;2.0479653636363637;331.3443747754533;11.115384615384617;-0.00111037111886272;163.3521270751953;2345.4
43;48.78624309090909;2.048061090909091;340.1392911195705;11.115384615384617;0.01841412404624789;163.5140686035156;2345.4
44;48.78629081818182;2.0481568181818184;348.9342021448149;11.115384615384617;0.05184811584611205;163.9698638916016;2345.4
45;48.78633854545455;2.0482525454545453;357.7291078511585;11.115384615384617;0.023038805928037927;164.1724700927734;2345.4
46;48.78638627272727;2.0483482727272726;366.5240082381745;11.115384615384617;-0.0034126704139985373;164.1424560546875;2345.4
47;48.786434;2.048444;375.3189033067883;11.115384615384617;-6.592847103915005e-05;164.1418762207031;2345.4
48;48.7864735;2.0485255;382.73127059192154;11.115384615384617;0.007942000821190164;164.2007446289062;2345.4
49;48.786513;2.048607;390.1436340911365;11.115384615384617;0.012810764296079588;164.2957000732422;2345.4
