ResolutionVector;RouteTimeVector;TotalTimeVector;TotalDistanceVector;TotalNodesVector
1;1.9709374904632568;54.90389013290405;47076;47360
1;0.6613194942474365;25.036759853363037;47076;47360
1;0.9608228206634521;29.028809785842896;47076;47360
1;0.6102147102355957;25.599876403808594;47076;47360
1;0.5931096076965332;25.043496131896973;47076;47360
1;0.6063981056213379;28.003084659576416;47076;47360
1;0.5686066150665283;25.84554648399353;47076;47360
1;0.597149133682251;33.61102318763733;47076;47360
1;0.6206207275390625;30.40889072418213;47076;47360
1;1.177574872970581;31.750569343566895;47076;47360
11;0.5824949741363525;5.958915710449219;47076;4577
11;0.7763216495513916;4.752084016799927;47076;4577
11;0.7273321151733398;3.2884459495544434;47076;4577
11;0.4671816825866699;3.902580499649048;47076;4577
11;1.1664454936981201;3.9447383880615234;47076;4577
11;0.7034201622009277;2.777961015701294;47076;4577
11;0.6735978126525879;3.537884473800659;47076;4577
11;0.6119685173034668;3.4584994316101074;47076;4577
11;0.6181273460388184;6.995046138763428;47076;4577
11;1.0922534465789795;7.299649000167847;47076;4577
21;0.772536039352417;2.7633659839630127;47076;2525
21;0.5930917263031006;3.5724451541900635;47076;2525
21;0.6976222991943359;2.0625057220458984;47076;2525
21;0.6607880592346191;2.8645777702331543;47076;2525
21;0.6323525905609131;3.794847249984741;47076;2525
21;1.3355374336242676;6.454945802688599;47076;2525
21;0.9850149154663086;2.659942388534546;47076;2525
21;1.1827752590179443;3.9189846515655518;47076;2525
21;0.8195328712463379;3.7317049503326416;47076;2525
21;0.7500588893890381;4.6404595375061035;47076;2525
31;0.724877119064331;4.084875583648682;47076;1804
31;0.580791711807251;3.778935194015503;47076;1804
31;0.7518754005432129;1.9739031791687012;47076;1804
31;0.6938717365264893;2.9142913818359375;47076;1804
31;0.5965292453765869;2.05118727684021;47076;1804
31;0.6003987789154053;1.6605808734893799;47076;1804
31;0.9193780422210693;2.3364036083221436;47076;1804
31;0.7281427383422852;2.5968353748321533;47076;1804
31;0.7102677822113037;2.7126431465148926;47076;1804
31;0.5011882781982422;2.6625871658325195;47076;1804
41;0.6910722255706787;2.565152406692505;47076;1450
41;0.5311477184295654;2.065462350845337;47076;1450
41;0.538355827331543;2.1810553073883057;47076;1450
41;0.6048626899719238;1.9444658756256104;47076;1450
41;0.8997750282287598;2.037050247192383;47076;1450
41;0.5954601764678955;1.7431530952453613;47076;1450
41;0.6877090930938721;2.2114999294281006;47076;1450
41;0.5191426277160645;1.3839926719665527;47076;1450
41;0.7209639549255371;3.0900895595550537;47076;1450
41;0.6449997425079346;3.7297604084014893;47076;1450
51;0.4923086166381836;1.8654565811157227;47076;1232
51;0.674025297164917;3.7421038150787354;47076;1232
51;0.5552284717559814;1.2025389671325684;47076;1232
51;0.5215706825256348;3.742480754852295;47076;1232
51;0.8086678981781006;2.2269465923309326;47076;1232
51;0.6039986610412598;3.0179879665374756;47076;1232
51;1.0024652481079102;1.8635666370391846;47076;1232
51;0.6630825996398926;1.7299144268035889;47076;1232
51;0.8193023204803467;2.2649247646331787;47076;1232
51;0.49909281730651855;1.8150525093078613;47076;1232
61;0.5893845558166504;2.6754310131073;47076;1076
61;0.7067849636077881;2.0629732608795166;47076;1076
61;0.5276894569396973;2.84686279296875;47076;1076
61;1.0068981647491455;2.7891430854797363;47076;1076
61;0.5885090827941895;4.3770716190338135;47076;1076
61;1.0705811977386475;2.991821050643921;47076;1076
61;0.5981838703155518;2.996154308319092;47076;1076
61;0.646040678024292;2.0344297885894775;47076;1076
61;0.7465498447418213;1.8268864154815674;47076;1076
61;0.46942734718322754;2.106534004211426;47076;1076
71;1.1395618915557861;1.8427045345306396;47076;977
71;0.505324125289917;1.515674114227295;47076;977
71;0.859813928604126;1.5211732387542725;47076;977
71;0.7150053977966309;1.3213458061218262;47076;977
71;0.5769586563110352;1.545013189315796;47076;977
71;0.5558698177337646;1.373544692993164;47076;977
