RouteTimeVector;TotalTimeVector;TotalDistanceVector;TotalNodesVector
2.3724687099456787;2.846503496170044;770;783
0.6298799514770508;1.001443862915039;770;783
0.6859533786773682;1.1076889038085938;770;783
0.8008754253387451;1.6556477546691895;770;783
1.1180987358093262;1.9026985168457031;770;783
0.7295849323272705;2.3690404891967773;770;783
0.4794647693634033;1.4072272777557373;770;783
0.7134790420532227;1.6321039199829102;770;783
0.8225057125091553;1.5442922115325928;770;783
0.7756896018981934;1.685697078704834;770;783
1.377580165863037;3.5598807334899902;2608;2638
1.1152653694152832;2.416840076446533;2608;2638
0.5558435916900635;4.833949565887451;2608;2638
3.2234864234924316;8.620982885360718;2608;2638
0.5474221706390381;3.0891847610473633;2608;2638
0.9633288383483887;2.3767874240875244;2608;2638
0.49564433097839355;4.510079860687256;2608;2638
0.464505672454834;7.559783220291138;2608;2638
0.4856114387512207;6.0670387744903564;2608;2638
0.5617048740386963;2.205792188644409;2608;2638
0.9139695167541504;5.369457483291626;3762;3810
0.631256103515625;5.9487144947052;3762;3810
0.6598889827728271;5.449982404708862;3762;3810
1.3391242027282715;5.789148569107056;3762;3810
0.4288289546966553;5.704653978347778;3762;3810
1.4880590438842773;11.588242530822754;3762;3810
1.3159034252166748;5.900724411010742;3762;3810
0.9989206790924072;7.393665552139282;3762;3810
0.49906396865844727;3.8023681640625;3762;3810
0.6603822708129883;6.217792272567749;3762;3810
1.8678028583526611;7.8318541049957275;4009;4058
0.7870306968688965;6.933523654937744;4009;4058
0.6232461929321289;4.552347183227539;4009;4058
0.7753458023071289;4.165163516998291;4009;4058
1.2245612144470215;8.117819547653198;4009;4058
0.5451087951660156;8.251365184783936;4009;4058
0.6245589256286621;7.032303810119629;4009;4058
0.6607654094696045;5.737357139587402;4009;4058
0.906212568283081;4.797504663467407;4009;4058
0.5482394695281982;5.984569549560547;4009;4058
1.1179237365722656;9.941336870193481;5348;5423
0.5314099788665771;5.759305000305176;5348;5423
0.6550536155700684;7.267273664474487;5348;5423
1.2261781692504883;11.346574544906616;5348;5423
0.7283523082733154;10.331543207168579;5348;5423
0.6479916572570801;10.876961469650269;5348;5423
0.6632819175720215;13.582643985748291;5348;5423
0.6590259075164795;6.015667200088501;5348;5423
0.894129753112793;10.14749526977539;5348;5423
0.5817050933837891;13.323647737503052;5348;5423
1.0153069496154785;5.120941638946533;6401;6486
2.2408952713012695;6.293356418609619;6401;6486
1.2213611602783203;7.0048439502716064;6401;6486
0.7242908477783203;8.261450052261353;6401;6486
0.7975356578826904;14.05071234703064;6401;6486
0.5184283256530762;9.651886940002441;6401;6486
0.556349515914917;3.5812106132507324;6401;6486
0.550717830657959;7.221113681793213;6401;6486
0.7432684898376465;9.287511825561523;6401;6486
0.7496128082275391;7.985151767730713;6401;6486
1.254680871963501;10.798650741577148;6890;6950
0.7513277530670166;15.004251956939697;6890;6950
0.6130836009979248;9.915722846984863;6890;6950
1.1778881549835205;13.9660484790802;6890;6950
0.6186156272888184;10.541632890701294;6890;6950
1.1193556785583496;11.410996198654175;6890;6950
1.7217903137207031;12.366566181182861;6890;6950
1.1673707962036133;7.175694227218628;6890;6950
0.559739351272583;7.241368293762207;6890;6950
0.7252647876739502;7.265211820602417;6890;6950
7.006582260131836;18.63634753227234;7410;7487
1.2878406047821045;7.617516279220581;7410;7487
0.7080788612365723;5.707225561141968;7410;7487
0.6378054618835449;5.855406761169434;7410;7487
0.5543437004089355;6.770458698272705;7410;7487
1.1231803894042969;9.041448593139648;7410;7487
0.5770819187164307;13.228524446487427;7410;7487
0.5498318672180176;9.007778882980347;7410;7487
0.8076021671295166;8.434745788574219;7410;7487
0.8581898212432861;18.36787247657776;7410;7487
1.3179535865783691;7.54648494720459;8527;8656
1.012261152267456;9.500451803207397;8527;8656
0.7084028720855713;12.400126457214355;8527;8656
2.898200511932373;10.878225326538086;8527;8656
0.5711281299591064;8.375447750091553;8527;8656
1.7971031665802002;10.63104796409607;8527;8656
0.6853322982788086;10.869968891143799;8527;8656
0.7870278358459473;9.999117136001587;8527;8656
0.6866004467010498;10.036494731903076;8527;8656
2.0491411685943604;13.084381818771362;8527;8656
2.600616931915283;10.032421350479126;10062;10185
0.8365280628204346;8.26421332359314;10062;10185
0.5942080020904541;8.248915672302246;10062;10185
0.8021249771118164;8.580803871154785;10062;10185
0.7221782207489014;17.193602800369263;10062;10185
0.8334763050079346;15.520084142684937;10062;10185
1.8971102237701416;21.4980309009552;10062;10185
1.099809169769287;13.648488998413086;10062;10185
1.6010785102844238;15.553830862045288;10062;10185
0.8230664730072021;22.60324215888977;10062;10185
